column 1	Chemical Formula
CPD0-2472	C21H29N7O15P2
CPD0-2474	C21H28N7O18P3
CPD1F-114	C40H56
CPD1F-115	C40H56
CPD1F-118	C40H56
CPD1F-119	C40H56O2
CPD1F-120	C20H24O5
CPD1F-126	C40H56
CPD1F-128	C20H32
CPD1F-129	C40H56
CPD1F-130	C40H56O2
CPD1F-131	C40H56O3
CPD1F-132	C20H29O2
CPD1F-133	C40H56O4
CPD1F-134	C19H23O4
CPD1F-135	C40H56O4
CPD1F-136	C20H29O3
CPD1F-137	C19H23O5
CPD1F-138	C20H27O3
CPD1F-139	C19H23O6
CPD1F-140	C19H23O5
CPD1F-2	C13H20O3
CPD1F-4	C25H34O3
CPD1F-437	C21H19O12
CPD1F-453	C21H19O11
CPD1F-766	C21H19O11
CPD1F-90	C15H9O6
CPD1F-95	C20H26O4
CPD1F-96	C20H24O6
CPD1F-97	C20H26O5
CPD1F-98	C40H60
CPDQT-281	C12H22NO9S3
CPDQT-285	C13H25NO6S2
CPDQT-286	C13H24NO9S3
CPDQT-296	C15H28NO9S3
CPDQT-300	C16H30NO9S3
CPDQT-4	C6H11O9P
CPDQT-416	C12H23NO6S2
CPDQT-417	C14H27NO6S2
CPDQT-418	C15H29NO6S2
CPDQT-419	C16H31NO6S2
CPDQT-420	C14H26NO9S3
CPDQT-523	C34H58O11
CROTONYL-COA	C25H36N7O17P3S
CTP	C9H12N3O14P3
CYCLOARTENOL	C30H50O
CYCLOEUCALENOL	C30H50O
CYS	C3H7NO2S
CYTIDINE	C9H13N3O5
D-6-P-GLUCONO-DELTA-LACTONE	C6H9O9P
D-ERYTHRO-IMIDAZOLE-GLYCEROL-P	C6H9N2O6P
D-LACTATE	C3H5O3
D-MYO-INOSITOL-1-MONOPHOSPHATE	C6H11O9P
D-MYO-INOSITOL-34-BISPHOSPHATE	C6H10O12P2
D-MYO-INOSITOL-4-PHOSPHATE	C6H11O9P
D-RIBULOSE-15-P2	C5H8O11P2
D-Ribofuranose	C5H10O5
D-SEDOHEPTULOSE-7-P	C7H13O10P
D-SERINE	C3H7NO3
D-SORBITOL-6-P	C6H13O9P
D-XYLULOSE	C5H10O5
DADP	C10H12N5O9P2
DAMP	C10H12N5O6P
DATP	C10H12N5O12P3
DCDP	C9H12N3O10P2
DCMP	C9H12N3O7P
DCTP	C9H12N3O13P3
DEAMIDO-NAD	C21H24N6O15P2
DEHYDROQUINATE	C7H9O6
DEHYDROSPHINGANINE	C18H38NO2
