Reaction	Genes of a reaction
RXN-12878	SOBIC.002G402700
RXN-13492	SOBIC.K043800 // SOBIC.002G396100 // SOBIC.001G385132 // SOBIC.003G228400 // SOBIC.003G109766 // SOBIC.003G229000 // SOBIC.003G228600 // SOBIC.003G228300 // SOBIC.003G228700 // SOBIC.003G228100 // SOBIC.003G228200
RXN66-303	
RXN66-304	
RXN-13506	SOBIC.K043800 // SOBIC.002G396100 // SOBIC.001G385132 // SOBIC.003G228400 // SOBIC.003G109766 // SOBIC.003G229000 // SOBIC.003G228600 // SOBIC.003G228300 // SOBIC.003G228700 // SOBIC.003G228100 // SOBIC.003G228200
RXN-18938	SOBIC.001G176400 // SOBIC.001G176100 // SOBIC.001G229500 // SOBIC.001G176600 // SOBIC.001G176300 // SOBIC.001G176000 // SOBIC.004G069700 // SOBIC.004G068900 // SOBIC.004G068600 // SOBIC.008G107200 // SOBIC.008G107100 // SOBIC.008G106200 // SOBIC.008G105800 // SOBIC.005G228400 // SOBIC.005G064900 // SOBIC.010G203800 // SOBIC.010G203500 // SOBIC.010G204200 // SOBIC.010G203600 // SOBIC.010G106800
RXN-8197	SOBIC.002G108500 // SOBIC.002G108400 // SOBIC.001G192100 // SOBIC.004G256550 // SOBIC.005G215000 // SOBIC.005G149600 // SOBIC.010G107250
RXN-716	SOBIC.009G074300 // SOBIC.003G030600
CYTOCHROME-C-OXIDASE-RXN	SOBIC.002G007000 // SOBIC.001G074700 // SOBIC.004G303466 // SOBIC.009G251600 // SOBIC.003G218400 // SOBIC.010G032600
RXN-11529	SOBIC.009G074300 // SOBIC.003G030600
RXN-11925	
RXN-15386	SOBIC.002G154900 // SOBIC.005G162300 // SOBIC.005G162200 // SOBIC.005G161700 // SOBIC.005G109800 // SOBIC.005G166800 // SOBIC.005G162000 // SOBIC.005G161900 // SOBIC.005G161500 // SOBIC.005G109900
ENOYL-COA-HYDRAT-RXN	SOBIC.004G297500 // SOBIC.004G124200 // SOBIC.009G111400 // SOBIC.003G158300
HEXOKINASE-RXN	SOBIC.009G203500 // SOBIC.009G119100 // SOBIC.009G069800 // SOBIC.003G291800 // SOBIC.003G421201 // SOBIC.003G280400 // SOBIC.003G035500
KETOACYLCOATHIOL-RXN	
OHACYL-COA-DEHYDROG-RXN	
RXN-11026	SOBIC.006G012800 // SOBIC.005G181000 // SOBIC.009G057300 // SOBIC.009G057200 // SOBIC.003G061800 // SOBIC.003G354400 // SOBIC.010G049100 // SOBIC.010G001900
RXN-8340	SOBIC.006G107200 // SOBIC.004G183600
THIOESTER-RXN	
UDPSUGARHYDRO-RXN	SOBIC.009G020100
TRANS-RXN-194	SOBIC.002G253800 // SOBIC.006G206800 // SOBIC.001G413900 // SOBIC.001G167100 // SOBIC.001G103300 // SOBIC.001G464900 // SOBIC.001G275900 // SOBIC.001G247300 // SOBIC.001G163900 // SOBIC.007G222000 // SOBIC.007G215200 // SOBIC.007G200500 // SOBIC.004G061400 // SOBIC.008G147300 // SOBIC.008G014100 // SOBIC.005G028400 // SOBIC.009G183200 // SOBIC.009G020900 // SOBIC.003G420500 // SOBIC.010G240500
GPPSYN-RXN	SOBIC.002G353300 // SOBIC.009G216800 // SOBIC.003G270500 // SOBIC.010G229400
FARNESYLTRANSTRANSFERASE-RXN	SOBIC.002G353300 // SOBIC.004G287300 // SOBIC.009G216800 // SOBIC.003G270500 // SOBIC.003G111500
FPPSYN-RXN	SOBIC.002G353300 // SOBIC.006G248000 // SOBIC.009G216800 // SOBIC.003G270500 // SOBIC.003G111500 // SOBIC.010G229400
TRANS-RXN-213	SOBIC.005G209800
TRANS-RXN-190	SOBIC.002G411500 // SOBIC.006G061300 // SOBIC.006G061700 // SOBIC.010G197500
